"","IMPCTY","avg_probability"
"1","1",0.0939806951626488
"2","3",0.0601688142291106
"3","5",0.110265654036726
"4","7",0.107659142578196
"5","9",0.0764975895051425
"6","11",0.0887425058514987
"7","13",0.0651177102658802
"8","15",0.0617575534706687
"9","17",0.093851353025476
"10","19",0.122206760842282
"11","21",0.0717445877440971
"12","23",0.113766224094533
"13","25",0.0906092264215005
"14","27",0.0849590295761754
"15","29",0.0955892749321934
"16","31",0.0698222821015908
